1,-0.0146,-0.0469,0.0024,-0.0654
2,-0.019,-0.0356,-0.0063,-0.0571
3,-0.0308,-0.0376,-0.0381,-0.0508
4,-0.0415,-0.0449,-0.0459,-0.0493
5,-0.0498,-0.0376,-0.0571,-0.0503
6,-0.0586,-0.0239,-0.0747,-0.0435
7,-0.0708,-0.0073,-0.0869,-0.0415
8,-0.0762,0.0107,-0.0825,-0.0444
9,-0.084,0.0142,-0.0742,-0.04
10,-0.0903,0.0068,-0.0713,-0.0332
11,-0.0942,-5.00E-04,-0.0581,-0.0391
12,-0.0859,-0.0059,-0.0425,-0.0405
13,-0.085,-0.0195,-0.0527,-0.0361
14,-0.082,-0.0234,-0.0356,-0.0137
15,-0.0664,-0.0195,-0.0249,0.0137
16,-0.0415,-0.0112,-0.0103,0.0244
17,-0.0356,-0.0356,0.0059,0.02
18,-0.022,-0.0547,-0.0034,0.0015
19,-0.0093,-0.0635,-0.0068,-0.0029
20,0.001,-0.0737,-0.0044,-0.0088
21,0.0083,-0.0972,-0.001,-0.0176
22,0.0278,-0.0981,-0.0034,-0.0103
23,0.0474,-0.0908,-0.0103,-0.002
24,0.0669,-0.0859,-0.0249,-0.0225
25,0.0728,-0.0869,-0.0425,-0.0449
26,0.082,-0.0649,-0.0376,-0.0645
27,0.0889,-0.0591,-0.0381,-0.064
28,0.0913,-0.0605,-0.0562,-0.084
29,0.0811,-0.0444,-0.0649,-0.0933
30,0.0732,-0.0347,-0.0586,-0.0889
31,0.0757,-0.0151,-0.0615,-0.0845
32,0.0771,-0.0132,-0.0571,-0.0806
33,0.0786,-0.021,-0.0488,-0.084
34,0.0713,-0.0176,-0.0527,-0.0669
35,0.0542,-0.0151,-0.0454,-0.0566
36,0.0356,-0.0156,-0.0308,-0.0356
37,0.0249,-0.0195,-0.0259,-0.0225
38,0.0132,-0.0259,-0.0039,-0.0195
39,-0.0083,-0.0518,0.0059,-0.0122
40,-0.0234,-0.0571,0.0078,-0.0151
41,-0.0239,-0.0493,0.0127,-0.0132
42,-0.0273,-0.0571,-0.0034,-0.0117
43,-0.0439,-0.0801,-0.0039,-0.0146
44,-0.0425,-0.0762,-3.40E-03,-0.0127
45,-0.0156,-0.0728,-0.0039,-0.0112
46,0.0054,-0.0742,-0.0142,-0.0303
47,-0.0078,-0.0635,-0.0156,-0.0581
48,-0.0132,-0.064,-0.0112,-0.0562
49,0.0439,-0.0659,-0.0195,-0.0571
50,0.0469,-0.0547,-0.0396,-0.0684
51,0.0439,-0.0459,-0.04,-0.0615
