122,0.0112,0.0376,-0.0557,-0.0142
123,0.0229,0.0688,-0.0317,-0.0137
124,0.0371,0.0757,0.0039,-0.0151
125,0.0605,0.0854,0.0063,-0.0205
126,0.0654,0.083,-0.0083,-0.0269
127,0.0781,0.0786,0.0103,-0.0225
128,0.0903,0.0757,0.0171,-0.0234
129,0.0894,0.0581,0.041,-0.0205
130,0.0693,0.0576,0.0786,0.0029
131,0.0513,0.0522,0.0625,0.0229
132,0.0415,0.0142,0.0293,0.0327
133,0.0283,-0.0049,0.0449,0.043
134,0.0039,-0.0078,0.0615,0.0566
135,-0.0093,-0.0156,0.0176,0.042
136,-0.0068,-0.0313,-0.0063,0.042
