1,0.9941,0.9912,1.0073,0.9946,0.9963
2,0.998,0.9878,1.0059,0.9917,0.9914
3,0.9917,0.9956,0.9937,1.0024,1.0007
4,0.9912,1.0034,0.9902,1.0054,0.9928
5,0.9873,0.9985,0.9912,1.0015,0.9987
6,0.9878,0.999,0.9829,1.0015,0.9963
7,0.9941,0.9985,0.9863,0.9937,1.0011
8,0.9937,0.9922,0.9854,1.0044,1.005
9,0.9883,0.9893,0.9858,1.0112,1.0041
10,0.9917,0.9932,0.9941,1,1.0041
11,0.9937,0.9966,0.9922,0.9883,1.0046
12,0.9922,0.9961,1.0015,0.9912,0.9919
13,0.9966,0.9922,0.9829,0.9937,0.9972
14,0.9946,0.9951,0.9863,0.9873,0.9977
15,0.9951,0.9946,1.0015,0.9893,0.9914
16,0.9932,0.9888,1.0049,1.0054,0.9889
17,0.9927,0.9995,1.0005,1.0029,0.9894
18,1,1.0015,0.999,1.0005,0.9933
19,1.0005,0.9888,0.9956,0.9966,0.9894
20,0.9927,0.9873,0.9966,1.0093,0.9816
21,0.9961,0.9971,1.0005,1.0103,0.9967
22,1,0.998,1,1.0054,0.988
23,0.9971,0.9863,1.0015,1.0132,1.0026
24,1.002,0.9902,0.9932,1.0073,0.9992
25,0.9932,1.0015,0.9893,0.9897,0.9963
26,0.9917,0.9941,0.9956,0.9937,1.0085
27,0.9961,0.9951,0.9961,1.0044,0.9958
28,0.9961,0.9902,0.9878,0.9932,1.0011
29,0.999,0.9868,0.9932,0.981,1.0031
30,0.9961,1.0034,0.9912,0.9893,1.0021
31,0.9995,0.9917,0.9873,1.0005,1.0041
32,0.9927,0.9922,0.9897,0.9844,1.0065
33,0.9858,1.0005,0.9956,0.9771,0.9997
34,0.9922,0.9927,0.9897,0.9917,0.9967
35,0.9834,0.9937,0.9927,0.9878,0.9987
36,0.9785,0.9951,0.9927,1.0103,0.9977
37,0.9863,0.9897,0.9932,1.0044,0.9899
38,0.981,0.9873,1.0005,0.9902,0.9938
39,0.9917,1,0.9976,1.0171,0.9943
40,1.0161,0.999,1.0112,1.0034,0.9904
41,1.0015,0.9912,1.0161,1.0039,0.9909
42,0.9907,0.9927,0.9814,1.0103,0.9948
43,1.002,0.9985,0.9824,1.0063,0.9889
44,1.0073,0.9951,1.0044,1.0073,0.9904
45,1.001,0.9937,1.0132,1.0127,0.9992
46,0.998,0.9941,0.9844,1.0029,0.9948
47,1.0039,0.9888,0.981,0.9873,0.9948
48,1.0151,0.9941,1.0186,0.9951,1.0065
49,0.9819,1.0005,1.0137,1.0029,1.0007
50,0.9805,0.9941,0.9771,0.9956,0.9919
51,1.0063,0.9932,0.979,0.9897,1.0099
52,1.0044,1.001,0.9995,0.9956,0.9992
